Similarity,Department_1,Department_2
0.61801964,CGSC,ENGL
0.61734486,FREN,PSYC
0.6170636,ARTH,RELG
0.61636233,JAPN,LING
0.6163426,MATH,POSC
0.6161462,AFST,PSYC
0.6161099,FREN,MUSC
0.6160079,MATH,THEA
0.61600083,CGSC,SPAN
0.6153391,CCST,PHIL
0.61501455,CHIN,LATN
0.61436266,EDUC,SPAN
0.61434525,MEST,RELG
0.6136274,RELG,SPAN
0.61352706,ARBC,CHEM
0.61313343,MUSC,POSC
0.6129395,ASLN,HEBR
0.61293447,AFST,RUSS
0.6125556,ASLN,LING
0.61248046,ARTH,CLAS
0.6123963,DGAH,FREN
0.6117067,NEUR,SOAN
0.61134714,FREN,RUSS
0.61116356,ASST,IDSC
0.61099863,LTAM,MELA
0.61039,BIOC,SOAN
0.61009413,JAPN,SPAN
0.6100497,FREN,STAT
0.60997546,CHEM,GEOL
0.60976535,GERM,STAT
0.6097503,MUSC,RUSS
0.609502,CHEM,CS
0.60936874,CHIN,PHIL
0.6088967,AFST,MATH
0.60873675,HIST,THEA
0.6086912,DANC,LING
0.6085974,MELA,SPAN
0.6085539,CAMS,CGSC
0.60830146,CAMS,POSC
0.60810894,GERM,SOAN
0.60804707,ARCN,MELA
0.6075148,MUSC,THEA
0.6073181,ARTH,SPAN
0.6065406,ASLN,NEUR
0.60597426,ASTR,LATN
0.6056712,ARBC,ECON
0.60562813,CHIN,EDUC
0.6053595,GRK,HIST
0.60521656,AFST,FREN
0.605187,LING,THEA
0.6049085,ARBC,GERM
0.6045443,AMST,PHYS
0.6040765,FREN,IDSC
0.60391694,ARBC,RELG
0.60326165,ASTR,MUSC
0.60282254,DANC,THEA
0.602537,ASST,CCST
0.6022581,HEBR,THEA
0.60199064,ARTS,PSYC
0.60153663,ARCN,ECON
0.6010773,ARTS,SPAN
0.6009052,ENGL,PHIL
0.600622,ARCN,EDUC
0.6005683,AMST,CAMS
0.60046977,ARTH,GERM
0.6004647,CHIN,HIST
0.6000314,ARCN,LING
0.5992908,ARCN,CGSC
0.5990756,IDSC,MATH
0.59906006,DANC,EDUC
0.59861463,CHEM,GERM
0.59834725,ECON,SOAN
0.5974871,ARBC,DGAH
0.5972846,ASST,GRK
0.5969042,ASTR,JAPN
0.5966169,HIST,RELG
0.5964904,ASST,EDUC
0.59584135,BIOC,IDSC
0.5958059,SPAN,THEA
0.59520876,GERM,SPAN
0.5951576,AMST,MUSC
0.59404325,BIOL,MUSC
0.593342,ASST,POSC
0.59304917,MUSC,PSYC
0.5921325,FREN,MATH
0.5917827,AFST,JAPN
0.5917383,ECON,THEA
0.59056556,BIOL,MATH
0.58989894,FREN,HEBR
0.58980787,CAMS,LATN
0.58924145,CHEM,LATN
0.58914506,EDUC,LING
0.5885676,BIOL,CHIN
0.5885237,ARBC,MATH
0.58831525,ASLN,EDUC
0.5880143,HIST,JAPN
0.5865165,ARCN,RUSS
0.58650917,CHIN,DGAH
0.5858543,ARTS,ENGL
0.5858358,MATH,PHIL
0.5856562,PHYS,PSYC
0.5856284,BIOC,THEA
0.5855974,HIST,PSYC
0.5855831,CAMS,ENGL
0.5852354,AMST,JAPN
0.5851892,ENGL,HIST
0.58459127,CCST,THEA
0.5843863,GERM,HIST
0.5843706,ASST,SOAN
0.5841671,ARBC,SPAN
0.5832159,ECON,SPAN
0.58321357,CAMS,SOAN
0.58280575,DANC,SOAN
0.5827308,ASLN,CAMS
0.5827024,ARCN,BIOL
0.5822833,CCST,CHIN
0.5819045,GWSS,RUSS
0.5817449,HIST,PHIL
0.5805237,BIOC,HEBR
0.58003885,GERM,PHIL
0.5795492,AFST,CLAS
0.5794958,DGAH,HIST
0.57932806,DGAH,JAPN
0.5790082,JAPN,STAT
0.5788303,CLAS,LTAM
0.5785839,CCST,POSC
0.57840085,ENGL,SPAN
0.57766235,AMST,ARTH
0.57756233,CHEM,GRK
0.57709575,LATN,THEA
0.5768423,CCST,FREN
0.576301,GERM,THEA
0.57629514,PHYS,SPAN
0.57616454,SOAN,STAT
0.57589984,ASST,STAT
0.57582873,BIOL,RUSS
0.5752806,AFST,THEA
0.5751532,CAMS,DGAH
0.57508785,ASLN,GERM
0.5748978,ECON,MUSC
0.57470864,MATH,RUSS
0.57451224,POSC,SPAN
0.5743479,CHEM,EDUC
0.57429636,DGAH,MATH
0.5741534,ASTR,RELG
0.57374173,BIOC,HIST
0.5737228,MELA,RUSS
0.57367784,GRK,PHIL
0.5736699,SOAN,SPAN
0.57326317,CLAS,IDSC
0.5730472,CAMS,GERM
0.57271844,AMST,PHIL
0.572385,FREN,MEST
0.5720106,ARBC,LTAM
0.57108074,GRK,THEA
0.569939,ASTR,DGAH
0.5697649,ARCN,SOAN
0.5695004,FREN,GEOL
0.56859666,ASST,ENGL
0.56856894,CGSC,POSC
0.5680701,HEBR,MEST
0.5669748,BIOL,HEBR
0.5667574,CS,JAPN
0.56663275,ECON,RELG
0.56642896,ASLN,BIOC
0.56642205,GRK,GWSS
0.5662956,ASTR,HEBR
0.5654128,LING,OCP
0.5651369,HIST,MATH
0.56483585,NEUR,THEA
0.5634174,CAMS,THEA
0.5627743,BIOL,IDSC
0.56275874,CHEM,POSC
0.56238174,CCST,HIST
0.5616776,DANC,LATN
0.56131476,CHIN,SPAN
0.56119376,CGSC,RUSS
0.5609847,CHEM,DGAH
0.5608874,ASTR,GRK
0.5600456,ASST,CAMS
0.5595492,CGSC,IDSC
0.55861473,CCST,PSYC
0.55835414,HEBR,PHIL
0.55780375,ASLN,THEA
0.55739135,ARTH,ASST
0.5567309,PHYS,THEA
0.5564196,HIST,MELA
0.55622065,ARCN,THEA
0.5561411,CAMS,JAPN
0.55593956,ASST,SPAN
0.55566037,AFST,AMST
0.55528104,ASTR,ENGL
0.55499977,FREN,HIST
0.55477935,DGAH,PHYS
0.5542021,ASST,PSYC
0.55418926,EDUC,FREN
0.5540965,CLAS,MELA
0.55407864,CHEM,JAPN
0.55404735,AFST,CHIN
0.55329347,GERM,HEBR
0.5521964,MUSC,NEUR
0.5516339,CAMS,GRK
0.55102575,ENGL,MEST
0.55064714,AFST,CS
0.5503813,NEUR,POSC
0.54974794,ASTR,SOAN
0.5489052,ARTH,CS
0.54889023,HEBR,HIST
0.5482596,CAMS,CS
0.54820395,CHIN,LTAM
0.5479384,GWSS,PHIL
0.5478112,DANC,ENGL
0.54745734,ARBC,EUST
0.54742575,DANC,JAPN
0.5472793,CHIN,HEBR
0.54702896,ENGL,POSC
0.5466631,DGAH,HEBR
0.54649746,CCST,DANC
0.5463511,DGAH,SPAN
0.54629695,GEOL,IDSC
0.54624295,ENGL,FREN
0.54511255,BIOC,RELG
0.5444932,GWSS,JAPN
0.54413456,GWSS,IDSC
0.5438653,LING,PSYC
0.5436528,DGAH,SOAN
0.54359776,ASST,RELG
0.54230875,ARTH,ENGL
0.54216796,ARTH,EDUC
0.54136336,BIOL,FREN
0.54134184,ARCN,ASLN
0.5411541,GEOL,THEA
0.5403385,CHEM,LING
0.540321,GEOL,SPAN
0.53964794,EDUC,OCP
0.53897023,ARCN,ASTR
0.5388197,ENGL,GRK
0.53825283,CLAS,PHIL
0.53793323,EUST,MUSC
0.5375482,CHEM,SOAN
