source node,target node,similarity score
ENGL 370,ENGL 371,0.7187115
ENGL 371,ENGL 371,0.99999994
ENGL 371,ENGL 109,0.7752018
ENGL 371,ENGL 370,0.7187115
ENGL 395.00,SOAN 312,0.7373926
ENGL 395.00,LATN 240,0.7097854
ENGL 395.00,HIST 116,0.6975658
EUST 101.07,MEST 395,0.8294003
EUST 101.07,CHIN 251,0.7792022
EUST 101.07,IDSC 298,0.74141866
EUST 207,EUST 207,0.99999994
EUST 207,HIST 201,0.81119084
EUST 207,JAPN 343,0.70162225
FREN 103,FREN 103,0.9999999
FREN 103,SPAN 103,0.96798414
FREN 103,JAPN 103,0.795004
FREN 103,JAPN 206,0.763758
FREN 103,ARTS 374,0.7633367
FREN 103,POSC 232.02,0.75174916
FREN 208,SPAN 103,0.77394354
FREN 208,FREN 210,0.76454765
FREN 208,POSC 232.02,0.7339071
FREN 210,FREN 210,0.9999999
FREN 210,SPAN 208,0.8420745
FREN 210,FREN 208,0.76454765
FREN 210,FREN 245,0.76119995
FREN 245,FREN 245,0.9999999
FREN 245,FREN 210,0.76119995
FREN 245,JAPN 103,0.7515514
FREN 254,MATH 120,0.7213605
FREN 254,CHIN 103,0.70089847
FREN 254,MATH 210,0.6454388
FREN 255,AMST 321,0.86433536
FREN 255,CAMS 229,0.69372135
FREN 255,RUSS 228,0.67451584
FREN 259,HIST 201,0.7452421
FREN 259,SPAN 220,0.72527856
FREN 259,ARBC 103,0.6753933
FREN 310,POSC 348,0.7583639
FREN 310,RELG 110,0.7036332
FREN 310,RUSS 266,0.68714625
GEOL 110,GEOL 110,0.9999999
GEOL 110,PSYC 256,0.72869235
GEOL 110,SOAN 323,0.631924
GEOL 230,GEOL 230,0.99999994
GEOL 230,GEOL 255,0.6222169
GEOL 230,PHYS 123,0.62219167
GEOL 240,BIOC 311,0.91279763
GEOL 240,NEUR 239,0.8446267
GEOL 240,PHYS 342,0.834369
GEOL 240,THEA 110,0.79435927
GEOL 240,GEOL 255,0.7902934
GEOL 240,ECON 110,0.77877384
GEOL 240,PHYS 142,0.7686978
GEOL 255,GEOL 255,0.99999994
GEOL 255,ASTR 113,0.82987684
GEOL 255,ARTS 252,0.7987898
GEOL 255,CAMS 265,0.79717046
GEOL 255,DANC 310,0.7963693
GEOL 255,GEOL 240,0.7902934
GEOL 255,NEUR 239,0.7797943
GERM 103,RUSS 307,0.76087403
GERM 103,CGSC 130.00,0.7380681
GERM 103,RUSS 209,0.72123706
GERM 217,HIST 251,0.8400638
GERM 217,MUSC 217,0.8015622
GERM 217,HIST 270,0.79745907
GERM 217,SPAN 263,0.7603309
GERM 221,SPAN 369,0.8004451
GERM 221,RELG 213,0.7569969
GERM 221,PSYC 382,0.73429984
GRK 102,GRK 102,0.99999994
GRK 102,JAPN 103,0.8940492
GRK 102,ARTS 262,0.84475
GRK 102,LATN 103,0.8437188
GRK 102,SPAN 205,0.80829436
GRK 102,SPAN 103,0.7983795
GRK 102,ASLN 111,0.7710606
GRK 226,GRK 226,0.99999994
GRK 226,SOAN 110,0.7494106
GRK 226,POSC 348,0.7251646
GWSS 110,RELG 221,0.7675024
GWSS 110,GWSS 398.00,0.7656665
GWSS 110,POSC 120,0.75026494
GWSS 200,GWSS 200,0.99999994
GWSS 200,LTAM 220,0.7220893
GWSS 200,RELG 213,0.7200877
GWSS 398.00,AMST 115,0.8529979
GWSS 398.00,GWSS 110,0.7656665
GWSS 398.00,RELG 344,0.7496902
HEBR 102,CHIN 206,0.72059333
HEBR 102,SPAN 205,0.7179325
HEBR 102,THEA 110,0.71643686
HIST 111,POSC 322,0.76467216
HIST 111,HIST 205,0.7605189
HIST 111,AFST 289,0.71712106
HIST 116,HIST 116,0.99999994
HIST 116,LATN 240,0.70990354
HIST 116,ENGL 338,0.70429647
HIST 153,HIST 153,0.99999994
HIST 153,POSC 120,0.67042524
HIST 153,RELG 265,0.6685513
HIST 201,HIST 201,0.9999999
HIST 201,EUST 207,0.81119084
HIST 201,JAPN 343,0.7671913
HIST 201,CLAS 123,0.76506317
