Course,Most_Similar_Course,Similarity
ECON 111,ECON 110,0.9255225
ECON 111,ECON 270,0.8628462
ECON 111,BIOL 240,0.82688797
ECON 265,MATH 232,0.7913424
ECON 265,CS 202,0.7676889
ECON 265,MATH 134,0.7676508
ECON 269,PSYC 354,0.7051086
ECON 269,ENGL 295,0.70045537
ECON 269,POSC 231,0.67581236
ECON 270,BIOL 240,0.88960004
ECON 270,ECON 111,0.8628462
ECON 270,ECON 110,0.7897713
ECON 274,IDSC 251,0.7077718
ECON 274,AFST 300,0.6719772
ECON 274,POSC 266,0.6675158
ECON 277,POSC 322,0.77508163
ECON 277,ECON 280,0.7390508
ECON 277,POSC 120,0.7002549
ECON 280,ECON 277,0.7390508
ECON 280,JAPN 103,0.7118027
ECON 280,IDSC 238,0.7031356
ECON 330,ECON 331,0.9175585
ECON 330,RUSS 207,0.8062612
ECON 330,RUSS 209,0.80128664
ECON 331,ECON 330,0.9175585
ECON 331,RUSS 209,0.81037694
ECON 331,RUSS 207,0.78789204
ECON 398,CAMS 110,0.80459505
ECON 398,IDSC 202,0.7166193
ECON 398,CHEM 300.00,0.69970006
EDUC 110,PHIL 124,0.81500876
EDUC 110,ENGL 255,0.8086449
EDUC 110,PHIL 209,0.69177246
EDUC 242,BIOL 378,0.78017586
EDUC 242,PHIL 119,0.76335466
EDUC 242,RUSS 267,0.76243114
EDUC 338,CAMS 186,0.71070385
EDUC 338,CS 311,0.6772341
EDUC 338,RELG 213,0.66996163
EDUC 385,IDSC 280,0.8476586
EDUC 385,PHYS 123,0.8236462
EDUC 385,IDSC 298,0.8175867
EDUC 395,IDSC 202,0.6584869
EDUC 395,IDSC 298,0.65270996
EDUC 395,MEST 395,0.63789284
ENGL 109,ENGL 371,0.8446496
ENGL 109,MUSC 221,0.7482016
ENGL 109,CAMS 277,0.7030641
ENGL 115,PHIL 219,0.6745369
ENGL 115,POSC 348,0.65466934
ENGL 115,ENGL 202,0.65236175
ENGL 160,PHIL 289,0.7010501
ENGL 160,ENGL 109,0.67013305
ENGL 160,LATN 240,0.66153115
ENGL 202,RELG 155,0.7831605
ENGL 202,PHIL 219,0.7097558
ENGL 202,PHIL 209,0.70430154
ENGL 209,HIST 276,0.7738609
ENGL 209,PHIL 289,0.74453247
ENGL 209,ENGL 371,0.69260806
ENGL 230,PSYC 389,0.7742598
ENGL 230,POSC 206.00,0.7672558
ENGL 230,ECON 270,0.75990075
ENGL 253,ENGL 160,0.6446704
ENGL 253,GRK 226,0.6396673
ENGL 253,SPAN 263,0.62723696
ENGL 255,EDUC 110,0.8086449
ENGL 255,PHIL 124,0.665446
ENGL 255,SOAN 312,0.6273259
ENGL 268,CS 311,0.8099544
ENGL 268,STAT 220,0.7603218
ENGL 268,CS 208,0.75824946
ENGL 295,ARTS 322,0.70641476
ENGL 295,ECON 269,0.70045537
ENGL 295,ARTS 252,0.65535045
ENGL 338,LATN 240,0.7433555
ENGL 338,CLAS 214,0.73046184
ENGL 338,HIST 116,0.7110074
ENGL 370,LTAM 398,0.7010376
ENGL 370,SPAN 103,0.70010376
ENGL 370,ARBC 206,0.68796074
ENGL 371,ENGL 109,0.8446496
ENGL 371,PHIL 289,0.7632064
ENGL 371,RUSS 228F,0.70858043
ENGL 395.00,MUSC 217,0.70578414
ENGL 395.00,HIST 116,0.6822806
ENGL 395.00,SOAN 312,0.6594841
EUST 101.07,MEST 395,0.8512516
EUST 101.07,RUSS 228F,0.7912457
EUST 101.07,CHIN 251,0.7484758
EUST 207,HIST 201,0.82141083
EUST 207,JAPN 343,0.71562207
EUST 207,CAMS 229,0.6802869
FREN 103,SPAN 103,0.9585514
FREN 103,GRK 102,0.8211256
FREN 103,JAPN 103,0.7625178
FREN 208,FREN 210,0.78344035
FREN 208,ARBC 371,0.7564887
FREN 208,SPAN 103,0.7125758
FREN 210,SPAN 208,0.8253401
FREN 210,FREN 208,0.78344035
FREN 210,FREN 245,0.7248232
FREN 245,POSC 120,0.7879589
FREN 245,JAPN 103,0.7555366
FREN 245,JAPN 343,0.7253581
FREN 254,MATH 120,0.6082724
FREN 254,CHEM 123,0.6044391
FREN 254,ARTH 298,0.5837415
FREN 255,AMST 321,0.8117469
FREN 255,HIST 153,0.7162269
FREN 255,HIST 201,0.7001034
FREN 259,SPAN 220,0.7097335
FREN 259,POSC 120,0.70468765
FREN 259,HIST 201,0.703036
FREN 310,SPAN 369,0.7188759
FREN 310,SPAN 220,0.71322066
FREN 310,POSC 348,0.7089431
GEOL 110,PSYC 256,0.74627644
GEOL 110,ECON 330,0.6591569
GEOL 110,PHYS 352,0.6551283
GEOL 230,CHEM 300.00,0.7339138
GEOL 230,ASTR 233,0.6854424
GEOL 230,BIOL 370,0.6739688
GEOL 240,BIOC 311,0.8755834
GEOL 240,NEUR 239,0.84083265
GEOL 240,PHYS 342,0.82730263
GEOL 255,NEUR 239,0.82555574
GEOL 255,PHYS 342,0.805716
GEOL 255,CAMS 265,0.80221856
GERM 103,RUSS 307,0.77863955
GERM 103,DANC 309,0.7206281
GERM 103,RUSS 103,0.6978366
GERM 217,HIST 251,0.80720985
GERM 217,MUSC 217,0.79190606
GERM 217,RELG 110,0.7492256
GERM 221,SPAN 369,0.8232659
GERM 221,CLAS 142,0.7847016
GERM 221,RELG 213,0.755852
GRK 102,SPAN 103,0.88233644
GRK 102,JAPN 103,0.850832
GRK 102,FREN 103,0.8211256
GRK 226,SOAN 110,0.72432923
GRK 226,AMST 321,0.71828806
GRK 226,POSC 348,0.7115665
GWSS 110,GWSS 398.00,0.7734505
GWSS 110,AMST 115,0.76152253
GWSS 110,MELA 230,0.7542388
GWSS 200,RELG 265,0.72949344
