Course_1,Course_2,Similarity
AFST 289,PHIL 124,0.31719312
AFST 289,PHIL 202,-0.05298437
AFST 289,PHIL 209,0.36314777
AFST 289,PHIL 210,0.20125672
AFST 289,PHIL 219,0.59696746
AFST 289,PHIL 270,0.38506794
AFST 289,PHIL 289,0.18948969
AFST 289,PHYS 123,0.09576241
AFST 289,PHYS 142,0.31508225
AFST 289,PHYS 145,0.24093452
AFST 289,PHYS 234,0.25594974
AFST 289,PHYS 235,0.36043814
AFST 289,PHYS 341,0.5494441
AFST 289,PHYS 342,0.3012681
AFST 289,PHYS 352,0.07610959
AFST 289,POSC 120,0.7590847
AFST 289,POSC 160,0.36552268
AFST 289,POSC 170,0.6581541
AFST 289,POSC 201,0.47504765
AFST 289,POSC 206.00,0.3990689
AFST 289,POSC 230,-0.016499706
AFST 289,POSC 231,0.60060835
AFST 289,POSC 232.01,0.1898019
AFST 289,POSC 232.02,-0.039632138
AFST 289,POSC 242,0.5312632
AFST 289,POSC 252,0.2771193
AFST 289,POSC 266,0.29473847
AFST 289,POSC 272,0.27699018
AFST 289,POSC 302,0.44076666
AFST 289,POSC 315,0.6592337
AFST 289,POSC 322,0.69771045
AFST 289,POSC 333,0.36973003
AFST 289,POSC 348,0.6265075
AFST 289,PSYC 110,0.433346
AFST 289,PSYC 200,0.1477694
AFST 289,PSYC 201,-0.023093607
AFST 289,PSYC 216,0.26473457
AFST 289,PSYC 217,0.0062809885
AFST 289,PSYC 220,0.24190395
AFST 289,PSYC 256,0.33813322
AFST 289,PSYC 257,0.14767838
AFST 289,PSYC 354,0.3322135
AFST 289,PSYC 382,0.40658036
AFST 289,PSYC 389,0.36262777
AFST 289,RELG 110,0.6523722
AFST 289,RELG 121,0.5883074
AFST 289,RELG 155,0.39062154
AFST 289,RELG 213,0.5508354
AFST 289,RELG 221,0.5834591
AFST 289,RELG 261,0.7772539
AFST 289,RELG 265,0.5716501
AFST 289,RELG 344,0.5527857
AFST 289,RUSS 103,-0.1903817
AFST 289,RUSS 110,0.037720203
AFST 289,RUSS 207,0.28712136
AFST 289,RUSS 209,0.20385124
AFST 289,RUSS 228,0.23761778
AFST 289,RUSS 228F,0.15451026
AFST 289,RUSS 266,0.2787225
AFST 289,RUSS 267,0.23889008
AFST 289,RUSS 307,0.12202281
AFST 289,RUSS 309,0.12822442
AFST 289,SOAN 110,0.31544405
AFST 289,SOAN 111,0.08241232
AFST 289,SOAN 214,0.4627015
AFST 289,SOAN 228,0.47240683
AFST 289,SOAN 240,-0.04173886
AFST 289,SOAN 262,0.64452875
AFST 289,SOAN 312,0.19226362
AFST 289,SOAN 313,0.61957973
AFST 289,SOAN 323,0.57083523
AFST 289,SPAN 103,-0.010613723
AFST 289,SPAN 205,-0.08265756
AFST 289,SPAN 208,0.010935974
AFST 289,SPAN 220,0.32505888
AFST 289,SPAN 263,0.32125148
AFST 289,SPAN 369,0.54308164
AFST 289,STAT 120,0.18999061
AFST 289,STAT 220,0.30549443
AFST 289,STAT 230,0.27666172
AFST 289,STAT 250,0.077077396
AFST 289,STAT 285,0.11771226
AFST 289,STAT 297,0.07061118
AFST 289,STAT 320,0.06291888
AFST 289,THEA 110,0.30553854
AFST 289,THEA 185,0.41676068
AFST 289,THEA 190,0.18534267
AFST 289,THEA 199,0.074864954
AFST 289,THEA 226,0.5544238
AFST 289,THEA 245,0.015819669
AFST 300,AFST 289,0.5659214
AFST 300,AFST 300,1.0000001
AFST 300,AMST 115,0.48462126
AFST 300,AMST 269,0.41541228
AFST 300,AMST 321,0.537927
AFST 300,AMST 396.00,0.5797912
AFST 300,ARBC 103,0.023637211
AFST 300,ARBC 206,0.15974472
AFST 300,ARBC 222,0.23628129
AFST 300,ARBC 223,0.12710087
AFST 300,ARBC 371,0.10652285
AFST 300,ARCN 112,0.5907824
AFST 300,ARCN 222,0.5167693
AFST 300,ARTH 214,0.45608047
AFST 300,ARTH 298,-0.09862095
AFST 300,ARTS 113,0.059564084
AFST 300,ARTS 122,0.06129486
AFST 300,ARTS 139,0.043720216
AFST 300,ARTS 230,-0.049363326
AFST 300,ARTS 252,-0.20362777
AFST 300,ARTS 262,0.14912778
AFST 300,ARTS 298,-0.05057162
AFST 300,ARTS 322,-0.17631625
AFST 300,ARTS 339,-0.014338644
AFST 300,ARTS 374,-0.09602118
AFST 300,ASLN 111,0.05340615
AFST 300,ASST 110,0.3783728
AFST 300,ASST 285,0.4949869
AFST 300,ASTR 113,0.059976283
AFST 300,ASTR 233,0.24625948
AFST 300,BIOC 311,-0.020955887
AFST 300,BIOC 331,0.03724363
AFST 300,BIOL 125,-0.08240879
AFST 300,BIOL 126,-0.11795329
AFST 300,BIOL 240,-0.0028821635
AFST 300,BIOL 241,-0.109734595
AFST 300,BIOL 352,-0.10996223
AFST 300,BIOL 353,0.29666728
AFST 300,BIOL 370,0.13418256
AFST 300,BIOL 378,0.6554459
AFST 300,CAMS 110,-0.060040955
AFST 300,CAMS 111,-0.12833574
AFST 300,CAMS 186,0.5194857
AFST 300,CAMS 187,0.24834314
AFST 300,CAMS 214,0.36305594
AFST 300,CAMS 229,0.050369997
