Course Title,Similar Course,Similarity Score
EDUC 110,AMST 321,0.17
EDUC 242,ENGL 268,0.17
EDUC 242,PE 153,0.15
EDUC 242,PSYC 201,0.15
EDUC 338,THEA 199,0.23
EDUC 338,SOAN 110,0.23
EDUC 338,CAMS 214,0.19
EDUC 385,STAT 285,0.22
EDUC 385,THEA 199,0.22
EDUC 385,PE 153,0.20
EDUC 395,EDUC 110,0.26
EDUC 395,ENGL 295,0.18
EDUC 395,LTAM 398,0.16
ENGL 109,ARBC 206,0.28
ENGL 109,ENGL 370,0.28
ENGL 109,THEA 199,0.26
ENGL 115,ENGL 370,0.28
ENGL 115,SPAN 220,0.21
ENGL 115,FREN 103,0.14
ENGL 160,ENGL 371,0.17
ENGL 160,ENGL 109,0.17
ENGL 160,ENGL 370,0.16
ENGL 202,IDSC 251,0.13
ENGL 202,HIST 229,0.12
ENGL 202,PHIL 219,0.10
ENGL 209,THEA 209,1.00
ENGL 209,THEA 309,0.79
ENGL 209,THEA 190,0.20
ENGL 230,AMST 269,0.13
ENGL 230,PHIL 219,0.13
ENGL 230,ENGL 160,0.10
ENGL 253,LTAM 220,0.28
ENGL 253,ENGL 109,0.20
ENGL 253,ENGL 160,0.15
ENGL 255,LATN 240,0.22
ENGL 255,RUSS 228,0.17
ENGL 255,LING 135,0.15
ENGL 268,EDUC 242,0.17
ENGL 268,JAPN 206,0.14
ENGL 268,PE 153,0.14
ENGL 295,THEA 199,0.41
ENGL 295,STAT 285,0.34
ENGL 295,PHIL 202,0.32
ENGL 338,CLAS 214,0.13
ENGL 338,ARTS 339,0.12
ENGL 338,ENGL 371,0.11
ENGL 370,FREN 103,0.31
ENGL 370,THEA 199,0.29
ENGL 370,ENGL 115,0.28
ENGL 371,THEA 199,0.21
ENGL 371,STAT 285,0.19
ENGL 371,ENGL 109,0.19
ENGL 395.00,GWSS 110,0.14
ENGL 395.00,GERM 221,0.12
ENGL 395.00,HIST 209,0.12
EUST 101.07,ASST 110,0.27
EUST 101.07,HIST 206,0.26
EUST 101.07,EUST 207,0.24
EUST 207,HIST 201,0.24
EUST 207,EUST 101.07,0.24
EUST 207,THEA 199,0.20
FREN 103,SPAN 103,0.84
FREN 103,JAPN 206,0.34
FREN 103,ENGL 370,0.31
FREN 208,FREN 255,0.35
FREN 208,FREN 259,0.32
FREN 208,FREN 359,0.32
FREN 210,SPAN 208,0.43
FREN 210,FREN 245,0.25
FREN 210,FREN 208,0.24
FREN 245,FREN 210,0.25
FREN 245,FREN 255,0.22
FREN 245,FREN 208,0.18
FREN 254,FREN 259,0.26
FREN 254,FREN 359,0.26
FREN 254,FREN 255,0.24
FREN 255,FREN 259,0.43
FREN 255,FREN 359,0.43
FREN 255,FREN 208,0.35
FREN 259,FREN 359,1.00
FREN 259,FREN 255,0.43
FREN 259,FREN 208,0.32
FREN 310,GERM 217,0.18
FREN 310,SOAN 111,0.14
FREN 310,AFST 289,0.14
FREN 359,FREN 359,1.00
FREN 359,FREN 255,0.43
FREN 359,FREN 208,0.32
FREN 400,ARTH 400,0.36
FREN 400,ARTS 400,0.36
FREN 400,CHEM 400,0.33
GEOL 110,GEOL 240,0.19
GEOL 110,GEOL 255,0.16
GEOL 110,PE 153,0.12
GEOL 230,GEOL 255,0.23
GEOL 230,CS 361,0.17
GEOL 230,GEOL 240,0.13
GEOL 240,STAT 220,0.25
GEOL 240,ARTS 122,0.20
GEOL 240,GEOL 110,0.19
GEOL 255,GEOL 230,0.23
GEOL 255,GEOL 240,0.16
GEOL 255,GEOL 110,0.16
GEOL 400,ARTS 400,0.47
GEOL 400,ARTH 400,0.46
GEOL 400,PHYS 400,0.46
GERM 103,LING 135,0.31
GERM 103,FREN 103,0.25
GERM 103,SPAN 103,0.23
GERM 217,ARTH 214,0.26
GERM 217,GWSS 200,0.21
GERM 217,FREN 310,0.18
GERM 221,ARTH 214,0.14
GERM 221,RELG 221,0.13
GERM 221,POSC 120,0.13
GERM 400,CAMS 186,0.24
GERM 400,GERM 103,0.13
GERM 400,BIOC 331,0.11
GRK 102,SPAN 205,0.15
GRK 102,MUSC 179,0.14
GRK 102,MUSC 179J,0.14
GRK 226,CLAS 142,0.22
GRK 226,ENGL 370,0.14
GRK 226,SOAN 110,0.14
GWSS 110,RELG 221,0.31
GWSS 110,CLAS 214,0.30
GWSS 110,AMST 115,0.25
GWSS 200,SOAN 240,0.29
GWSS 200,POSC 230,0.24
GWSS 200,GWSS 110,0.23
GWSS 398.00,ARTH 214,0.22
GWSS 398.00,RELG 221,0.16
GWSS 398.00,GWSS 110,0.16
HEBR 102,ARBC 206,0.22
HEBR 102,JAPN 206,0.20
HEBR 102,RUSS 110,0.17
HIST 111,HIST 298,0.23
HIST 111,HIST 205,0.20
HIST 111,ENGL 295,0.18
HIST 116,ARCN 112,0.27
HIST 116,AMST 321,0.24
HIST 116,HIST 276,0.17
HIST 153,JAPN 343,0.23
HIST 153,THEA 199,0.23
HIST 153,PHIL 202,0.21
HIST 201,CLAS 240,0.31
HIST 201,EUST 207,0.24
HIST 201,EUST 101.07,0.17
HIST 205,LING 110,0.27
HIST 205,HIST 308,0.25
HIST 205,JAPN 343,0.20
HIST 206,EUST 101.07,0.26
HIST 206,THEA 199,0.20
HIST 206,EUST 207,0.19
HIST 209,RELG 121,0.17
HIST 209,GWSS 110,0.17
HIST 209,HIST 298,0.16
HIST 229,ECON 274,0.23
HIST 229,GWSS 110,0.22
HIST 229,RELG 221,0.18
HIST 251,RELG 121,0.23
HIST 251,CAMS 214,0.18
HIST 251,HIST 287,0.17
HIST 265,POSC 322,0.18
HIST 265,RUSS 209,0.18
HIST 265,HIST 298,0.17
HIST 270,PE 146,0.24
HIST 270,POSC 272,0.22
HIST 270,POSC 242,0.22
HIST 276,ARCN 112,0.18
HIST 276,HIST 116,0.17
HIST 276,AFST 289,0.12
HIST 287,ARBC 371,0.26
HIST 287,POSC 230,0.24
HIST 287,BIOC 331,0.22
HIST 298,ARTH 298,0.27
HIST 298,RELG 121,0.26
HIST 298,ARTS 298,0.23
HIST 308,HIST 205,0.25
HIST 308,PHIL 219,0.14
HIST 308,POSC 333,0.14
HIST 347,RELG 261,0.21
HIST 347,POSC 170,0.17
HIST 347,THEA 199,0.14
IDSC 198,IDSC 298,0.58
IDSC 198,IDSC 289,0.30
IDSC 198,PHIL 202,0.25
IDSC 202,IDSC 289,0.26
IDSC 202,ECON 398,0.23
IDSC 202,SOAN 240,0.20
IDSC 238,PSYC 354,0.14
IDSC 238,ECON 110,0.13
IDSC 238,PE 153,0.13
IDSC 251,ARTS 400,0.20
IDSC 251,POSC 272,0.17
IDSC 251,FREN 255,0.16
IDSC 280,MEST 395,0.23
IDSC 280,PHYS 123,0.18
IDSC 280,EDUC 385,0.17
IDSC 289,BIOC 331,0.36
IDSC 289,POSC 230,0.33
IDSC 289,ECON 398,0.32
IDSC 298,IDSC 198,0.58
IDSC 298,THEA 199,0.28
IDSC 298,IDSC 289,0.23
JAPN 103,CHIN 103,0.50
JAPN 103,JAPN 206,0.35
JAPN 103,DANC 200,0.27
JAPN 206,CHIN 206,0.47
JAPN 206,JAPN 103,0.35
JAPN 206,FREN 103,0.34
JAPN 343,HIST 153,0.23
JAPN 343,JAPN 206,0.21
JAPN 343,PHIL 202,0.21
LATN 103,LTAM 398,0.17
LATN 103,FREN 103,0.17
LATN 103,POSC 322,0.14
LATN 240,ENGL 255,0.22
LATN 240,PE 334,0.14
LATN 240,LATN 103,0.14
LING 110,LING 115,0.32
LING 110,HIST 205,0.27
LING 110,POSC 272,0.18
LING 115,LING 110,0.32
LING 115,PE 153,0.19
LING 115,SPAN 205,0.18
LING 135,GERM 103,0.31
LING 135,ARBC 103,0.24
LING 135,SOAN 312,0.22
LING 319,SOAN 240,0.25
LING 319,STAT 220,0.25
LING 319,CS 347,0.22
LTAM 220,ENGL 253,0.28
LTAM 220,SPAN 220,0.14
LTAM 220,POSC 322,0.12
LTAM 398,CHEM 400,0.26
LTAM 398,ARTS 400,0.23
LTAM 398,FREN 400,0.23
LTAM 400,SOAN 400,0.34
LTAM 400,ARTS 400,0.33
LTAM 400,GEOL 400,0.26
MATH 111,MATH 120,0.35
MATH 111,MATH 134,0.20
MATH 111,MATH 210,0.18
MATH 120,MATH 210,0.39
MATH 120,MATH 111,0.35
MATH 120,MATH 232,0.19
MATH 134,MATH 232,0.50
MATH 134,MATH 271,0.24
MATH 134,THEA 199,0.22
MATH 210,MATH 120,0.39
MATH 210,MATH 111,0.18
MATH 210,POSC 201,0.16
MATH 232,MATH 134,0.50
MATH 232,MATH 271,0.27
MATH 232,STAT 120,0.21
MATH 236,CS 202,0.26
MATH 236,STAT 250,0.24
MATH 236,MATH 342,0.23
MATH 241,LING 135,0.21
MATH 241,MATH 341,0.20
MATH 241,HIST 205,0.16
MATH 271,MATH 232,0.27
MATH 271,MATH 134,0.24
MATH 271,STAT 220,0.16
MATH 297,STAT 297,0.94
MATH 297,THEA 199,0.21
MATH 297,FREN 400,0.17
MATH 331,ECON 270,0.19
MATH 331,CHEM 351,0.17
MATH 331,MATH 236,0.16
MATH 341,MATH 241,0.20
MATH 341,PHYS 341,0.19
MATH 341,MATH 342,0.13
MATH 342,MATH 236,0.23
MATH 342,MUSC 195,0.22
MATH 342,PHYS 235,0.17
MATH 400,STAT 400,1.00
MATH 400,ECON 398,0.24
MATH 400,IDSC 289,0.23
MELA 230,RELG 221,0.32
MELA 230,HIST 298,0.19
MELA 230,RELG 121,0.12
MEST 395,IDSC 280,0.23
MEST 395,POSC 242,0.20
MEST 395,RUSS 228F,0.19
MUSC 104,MUSC 204,0.22
MUSC 104,MUSC 250,0.11
MUSC 104,DANC 200,0.11
MUSC 127,MUSC 313,0.22
MUSC 127,MUSC 197,0.20
MUSC 127,MUSC 152,0.20
MUSC 150,MUSC 150J,0.88
MUSC 150,MUSC 250,0.83
MUSC 150,MUSC 250J,0.75
MUSC 150J,MUSC 150,0.88
MUSC 150J,MUSC 250J,0.87
MUSC 150J,MUSC 250,0.71
MUSC 151,MUSC 151J,1.00
MUSC 151,MUSC 251,0.96
MUSC 151,MUSC 251J,0.96
MUSC 151J,MUSC 151J,1.00
MUSC 151J,MUSC 251,0.96
MUSC 151J,MUSC 251J,0.96
MUSC 152,MUSC 152J,1.00
MUSC 152,MUSC 252,0.98
MUSC 152,MUSC 252J,0.98
MUSC 152J,MUSC 152J,1.00
MUSC 152J,MUSC 252,0.98
MUSC 152J,MUSC 252J,0.98
MUSC 153J,MUSC 253J,0.98
MUSC 153J,MUSC 160.01,0.50
MUSC 153J,MUSC 160.02,0.50
MUSC 155,MUSC 155J,1.00
MUSC 155,MUSC 156,1.00
MUSC 155,MUSC 156J,1.00
MUSC 155J,MUSC 155J,1.00
MUSC 155J,MUSC 156,1.00
MUSC 155J,MUSC 156J,1.00
MUSC 156,MUSC 155J,1.00
MUSC 156,MUSC 156,1.00
MUSC 156,MUSC 156J,1.00
MUSC 156J,MUSC 155J,1.00
MUSC 156J,MUSC 156,1.00
MUSC 156J,MUSC 156J,1.00
MUSC 157,MUSC 155J,1.00
MUSC 157,MUSC 156,1.00
MUSC 157,MUSC 156J,1.00
MUSC 157J,MUSC 155J,1.00
MUSC 157J,MUSC 156,1.00
MUSC 157J,MUSC 156J,1.00
MUSC 158,MUSC 158J,1.00
MUSC 158,MUSC 258,1.00
MUSC 158,MUSC 258J,1.00
MUSC 158J,MUSC 158J,1.00
MUSC 158J,MUSC 258,1.00
MUSC 158J,MUSC 258J,1.00
MUSC 159,MUSC 155J,1.00
MUSC 159,MUSC 156,1.00
MUSC 159,MUSC 156J,1.00
MUSC 159J,MUSC 155J,1.00
MUSC 159J,MUSC 156,1.00
MUSC 159J,MUSC 156J,1.00
MUSC 160.01,MUSC 160.02,1.00
MUSC 160.01,MUSC 155,0.91
MUSC 160.01,MUSC 155J,0.91
MUSC 160.02,MUSC 160.02,1.00
MUSC 160.02,MUSC 155,0.91
MUSC 160.02,MUSC 155J,0.91
MUSC 160J.01,MUSC 155J,1.00
MUSC 160J.01,MUSC 156,1.00
MUSC 160J.01,MUSC 156J,1.00
MUSC 160J.02,MUSC 155J,1.00
MUSC 160J.02,MUSC 156,1.00
MUSC 160J.02,MUSC 156J,1.00
MUSC 161,MUSC 155J,1.00
MUSC 161,MUSC 156,1.00
MUSC 161,MUSC 156J,1.00
MUSC 161J,MUSC 155J,1.00
MUSC 161J,MUSC 156,1.00
MUSC 161J,MUSC 156J,1.00
MUSC 162,MUSC 155J,1.00
MUSC 162,MUSC 156,1.00
MUSC 162,MUSC 156J,1.00
MUSC 162J,MUSC 155J,1.00
MUSC 162J,MUSC 156,1.00
MUSC 162J,MUSC 156J,1.00
MUSC 163,MUSC 155J,1.00
MUSC 163,MUSC 156,1.00
MUSC 163,MUSC 156J,1.00
MUSC 163J,MUSC 155J,1.00
MUSC 163J,MUSC 156,1.00
MUSC 163J,MUSC 156J,1.00
MUSC 164,MUSC 155J,1.00
MUSC 164,MUSC 156,1.00
MUSC 164,MUSC 156J,1.00
MUSC 164J,MUSC 155J,1.00
MUSC 164J,MUSC 156,1.00
MUSC 164J,MUSC 156J,1.00
MUSC 166.01,MUSC 155J,1.00
MUSC 166.01,MUSC 156,1.00
MUSC 166.01,MUSC 156J,1.00
MUSC 166.02,MUSC 155J,1.00
MUSC 166.02,MUSC 156,1.00
MUSC 166.02,MUSC 156J,1.00
MUSC 166J.01,MUSC 155J,1.00
MUSC 166J.01,MUSC 156,1.00
MUSC 166J.01,MUSC 156J,1.00
MUSC 166J.02,MUSC 155J,1.00
MUSC 166J.02,MUSC 156,1.00
MUSC 166J.02,MUSC 156J,1.00
MUSC 167,MUSC 155J,1.00
MUSC 167,MUSC 156,1.00
MUSC 167,MUSC 156J,1.00
MUSC 167J,MUSC 155J,1.00
MUSC 167J,MUSC 156,1.00
MUSC 167J,MUSC 156J,1.00
MUSC 169,MUSC 169J,1.00
MUSC 169,MUSC 155,0.55
MUSC 169,MUSC 155J,0.55
MUSC 169J,MUSC 169J,1.00
MUSC 169J,MUSC 155,0.55
MUSC 169J,MUSC 155J,0.55
MUSC 170,MUSC 155J,1.00
MUSC 170,MUSC 156,1.00
MUSC 170,MUSC 156J,1.00
MUSC 170J,MUSC 155J,1.00
MUSC 170J,MUSC 156,1.00
MUSC 170J,MUSC 156J,1.00
MUSC 171,MUSC 171J,1.00
MUSC 171,MUSC 271,0.90
MUSC 171,MUSC 271J,0.90
MUSC 171J,MUSC 171J,1.00
MUSC 171J,MUSC 271,0.90
MUSC 171J,MUSC 271J,0.90
MUSC 172,MUSC 172J,1.00
MUSC 172,MUSC 272,0.78
MUSC 172,MUSC 272J,0.78
MUSC 172J,MUSC 172J,1.00
MUSC 172J,MUSC 272,0.78
MUSC 172J,MUSC 272J,0.78
MUSC 174,MUSC 174J,1.00
MUSC 174,MUSC 274,1.00
MUSC 174,MUSC 160.01,0.58
MUSC 174J,MUSC 174J,1.00
MUSC 174J,MUSC 274,1.00
MUSC 174J,MUSC 160.01,0.58
MUSC 175,MUSC 175J,1.00
MUSC 175,MUSC 275,0.96
MUSC 175,MUSC 275J,0.96
MUSC 175J,MUSC 175J,1.00
MUSC 175J,MUSC 275,0.96
MUSC 175J,MUSC 275J,0.96
MUSC 176,MUSC 176J,1.00
MUSC 176,MUSC 276,1.00
MUSC 176,MUSC 276J,1.00
MUSC 176J,MUSC 176J,1.00
MUSC 176J,MUSC 276,1.00
MUSC 176J,MUSC 276J,1.00
MUSC 177,MUSC 277J,1.00
MUSC 177,MUSC 177,1.00
MUSC 177,MUSC 177J,1.00
MUSC 177J,MUSC 277J,1.00
MUSC 177J,MUSC 177,1.00
MUSC 177J,MUSC 177J,1.00
MUSC 178,MUSC 278J,1.00
MUSC 178,MUSC 178,1.00
MUSC 178,MUSC 178J,1.00
MUSC 178J,MUSC 278J,1.00
MUSC 178J,MUSC 178,1.00
MUSC 178J,MUSC 178J,1.00
MUSC 179,MUSC 179J,1.00
MUSC 179,MUSC 279,0.98
MUSC 179,MUSC 279J,0.98
MUSC 179J,MUSC 179J,1.00
MUSC 179J,MUSC 279,0.98
MUSC 179J,MUSC 279J,0.98
MUSC 180,MUSC 180J,1.00
MUSC 180,MUSC 280,1.00
MUSC 180,MUSC 280J,1.00
MUSC 180J,MUSC 180J,1.00
MUSC 180J,MUSC 280,1.00
MUSC 180J,MUSC 280J,1.00
MUSC 181,MUSC 181J,1.00
MUSC 181,MUSC 281,1.00
MUSC 181,MUSC 281J,1.00
