Course Title,Similar Course,Similarity Score
DANC 148,DANC 200,0.21
DANC 190,ARTS 400,0.26
DANC 190,SOAN 214,0.24
DANC 190,DANC 309,0.22
DANC 200,DANC 208,0.40
DANC 200,CS 348,0.22
DANC 200,DANC 148,0.21
DANC 206,DANC 309,0.22
DANC 206,CS 361,0.22
DANC 206,CS 348,0.18
DANC 208,DANC 200,0.40
DANC 208,CS 348,0.19
DANC 208,ENGL 268,0.19
DANC 279,STAT 220,0.20
DANC 279,RUSS 307,0.16
DANC 279,POSC 120,0.15
DANC 309,DANC 190,0.22
DANC 309,DANC 206,0.22
DANC 309,CS 361,0.18
DANC 310,CAMS 110,0.25
DANC 310,MUSC 196,0.21
DANC 310,ARTS 139,0.17
DANC 350,DGAH 398,0.48
DANC 350,PHYS 352,0.22
DANC 350,ECON 265,0.21
DGAH 398,DANC 350,0.48
DGAH 398,ECON 265,0.22
DGAH 398,CGSC 400,0.19
ECON 110,DANC 350,0.14
ECON 110,PHYS 352,0.12
ECON 110,POSC 315,0.11
ECON 111,PHYS 352,0.20
ECON 111,ENGL 253,0.20
ECON 111,STAT 250,0.20
ECON 265,DGAH 398,0.22
ECON 265,DANC 350,0.21
ECON 265,POSC 315,0.20
ECON 269,HIST 201,0.23
ECON 269,PHIL 210,0.22
ECON 269,ECON 331,0.17
ECON 270,POSC 160,0.20
ECON 270,PSYC 216,0.16
ECON 270,SPAN 220,0.15
ECON 274,PHYS 235,0.17
ECON 274,POSC 160,0.16
ECON 274,PHYS 342,0.14
ECON 277,ECON 280,0.63
ECON 277,SOAN 110,0.14
ECON 277,ECON 265,0.13
ECON 280,ECON 277,0.63
ECON 280,ECON 265,0.17
ECON 280,DANC 148,0.15
ECON 330,RUSS 307,0.37
ECON 330,POSC 120,0.36
ECON 330,CHEM 224,0.35
ECON 331,EDUC 242,0.26
ECON 331,CS 304,0.17
ECON 331,AMST 321,0.17
ECON 398,ENGL 230,0.17
ECON 398,PE 138,0.15
ECON 398,POSC 322,0.15
ECON 400,STAT 250,0.23
ECON 400,RUSS 228,0.23
ECON 400,CAMS 187,0.19
EDUC 110,SPAN 220,0.22
EDUC 110,STAT 250,0.22
EDUC 110,PE 138,0.20
EDUC 242,ECON 331,0.26
EDUC 242,ENGL 253,0.18
EDUC 242,LING 115,0.16
EDUC 338,ARBC 206,0.28
EDUC 338,ENGL 268,0.28
EDUC 338,STAT 250,0.26
EDUC 385,ENGL 268,0.28
EDUC 385,SOAN 312,0.21
EDUC 385,ENGL 395.00,0.14
EDUC 395,ENGL 295,0.17
EDUC 395,EDUC 338,0.17
EDUC 395,ENGL 268,0.16
ENGL 109,HIST 347,0.13
ENGL 109,HIST 201,0.12
ENGL 109,PHIL 119,0.10
ENGL 115,STAT 285,1.00
ENGL 115,STAT 400,0.79
ENGL 115,STAT 230,0.20
ENGL 160,AMST 269,0.13
ENGL 160,PHIL 119,0.13
ENGL 160,EDUC 395,0.10
ENGL 202,LING 110,0.28
ENGL 202,EDUC 338,0.20
ENGL 202,EDUC 395,0.15
ENGL 209,JAPN 103,0.22
ENGL 209,RELG 344,0.17
ENGL 209,LATN 103,0.15
ENGL 230,ECON 398,0.17
ENGL 230,IDSC 280,0.14
ENGL 230,PE 138,0.14
ENGL 253,STAT 250,0.41
ENGL 253,SPAN 220,0.34
ENGL 253,PE 316,0.32
ENGL 255,CLAS 123,0.13
ENGL 255,ARTS 339,0.12
ENGL 255,ENGL 295,0.11
ENGL 268,ENGL 395.00,0.31
ENGL 268,STAT 250,0.29
ENGL 268,EDUC 385,0.28
ENGL 295,STAT 250,0.21
ENGL 295,SPAN 220,0.19
ENGL 295,EDUC 338,0.19
ENGL 338,GERM 400,0.14
ENGL 338,GEOL 400,0.12
ENGL 338,HIST 153,0.12
ENGL 370,ASST 110,0.27
ENGL 370,HIST 116,0.26
ENGL 370,ENGL 371,0.24
ENGL 371,HEBR 102,0.24
ENGL 371,ENGL 370,0.24
ENGL 371,STAT 250,0.20
ENGL 395.00,SOAN 228,0.84
ENGL 395.00,IDSC 280,0.34
ENGL 395.00,ENGL 268,0.31
EUST 101.07,FREN 210,0.35
EUST 101.07,FREN 245,0.32
EUST 101.07,FREN 255,0.32
EUST 207,SOAN 262,0.43
EUST 207,FREN 103,0.25
EUST 207,EUST 101.07,0.24
FREN 103,EUST 207,0.25
FREN 103,FREN 210,0.22
FREN 103,EUST 101.07,0.18
FREN 208,FREN 245,0.26
FREN 208,FREN 255,0.26
FREN 208,FREN 210,0.24
FREN 210,FREN 245,0.43
FREN 210,FREN 255,0.43
FREN 210,EUST 101.07,0.35
FREN 245,FREN 255,1.00
FREN 245,FREN 210,0.43
FREN 245,EUST 101.07,0.32
FREN 254,GEOL 255,0.18
FREN 254,RUSS 228F,0.14
FREN 254,AFST 289,0.14
FREN 255,FREN 255,1.00
FREN 255,FREN 210,0.43
FREN 255,EUST 101.07,0.32
FREN 259,ARTH 400,0.36
FREN 259,ARTS 400,0.36
FREN 259,CHEM 352,0.33
FREN 310,FREN 400,0.19
FREN 310,GEOL 110,0.16
FREN 310,PE 138,0.12
FREN 359,GEOL 110,0.23
FREN 359,CS 347,0.17
FREN 359,FREN 400,0.13
FREN 400,SPAN 103,0.25
FREN 400,ARTS 122,0.20
FREN 400,FREN 310,0.19
GEOL 110,FREN 359,0.23
GEOL 110,FREN 400,0.16
GEOL 110,FREN 310,0.16
GEOL 230,ARTS 400,0.47
GEOL 230,ARTH 400,0.46
GEOL 230,PHYS 234,0.46
GEOL 240,LATN 103,0.31
GEOL 240,ENGL 395.00,0.25
GEOL 240,SOAN 228,0.23
GEOL 255,ARTH 214,0.26
GEOL 255,GRK 102,0.21
GEOL 255,FREN 254,0.18
GEOL 400,ARTH 214,0.14
GEOL 400,PSYC 389,0.13
GEOL 400,PHYS 235,0.13
GERM 103,CAMS 111,0.24
GERM 103,GEOL 240,0.13
GERM 103,BIOC 311,0.11
GERM 217,SOAN 240,0.15
GERM 217,MUSC 177,0.14
GERM 217,MUSC 177J,0.14
GERM 221,CHIN 358,0.22
GERM 221,ENGL 268,0.14
GERM 221,RUSS 228,0.14
GERM 400,PSYC 389,0.31
GERM 400,CLAS 123,0.30
GERM 400,AMST 115,0.25
GRK 102,RUSS 307,0.29
GRK 102,POSC 120,0.24
GRK 102,GERM 400,0.23
GRK 226,ARTH 214,0.22
GRK 226,PSYC 389,0.16
GRK 226,GERM 400,0.16
GWSS 110,ARBC 206,0.22
GWSS 110,IDSC 280,0.20
GWSS 110,RELG 221,0.17
GWSS 200,HIST 265,0.23
GWSS 200,HIST 111,0.20
GWSS 200,ENGL 253,0.18
GWSS 398.00,ARCN 112,0.27
GWSS 398.00,AMST 321,0.24
GWSS 398.00,HIST 229,0.17
GWSS 400,IDSC 289,0.23
GWSS 400,STAT 250,0.23
GWSS 400,PE 316,0.21
HEBR 102,CLAS 142,0.31
HEBR 102,ENGL 371,0.24
HEBR 102,ENGL 370,0.17
HIST 111,JAPN 206,0.27
HIST 111,HIST 270,0.25
HIST 111,IDSC 289,0.20
HIST 116,ENGL 370,0.26
HIST 116,STAT 250,0.20
HIST 116,ENGL 371,0.19
HIST 153,PSYC 257,0.17
HIST 153,GERM 400,0.17
HIST 153,HIST 265,0.16
HIST 201,ECON 269,0.23
HIST 201,GERM 400,0.22
HIST 201,PSYC 389,0.18
HIST 205,PSYC 257,0.23
HIST 205,CAMS 187,0.18
HIST 205,HIST 251,0.17
HIST 206,POSC 252,0.18
HIST 206,RELG 265,0.18
HIST 206,HIST 265,0.17
HIST 209,PE 130,0.24
HIST 209,POSC 232.01,0.22
HIST 209,POSC 206.00,0.22
HIST 229,ARCN 112,0.18
HIST 229,GWSS 398.00,0.17
HIST 229,AFST 289,0.12
HIST 251,ARBC 371,0.26
HIST 251,POSC 120,0.24
HIST 251,BIOC 311,0.22
HIST 265,ARTH 298,0.27
HIST 265,PSYC 257,0.26
HIST 265,ARTS 298,0.23
HIST 270,HIST 111,0.25
HIST 270,PHIL 119,0.14
HIST 270,POSC 266,0.14
HIST 276,RELG 110,0.21
HIST 276,PHYS 342,0.17
HIST 276,STAT 250,0.14
HIST 287,IDSC 238,0.58
HIST 287,IDSC 202,0.30
HIST 287,PE 316,0.25
HIST 298,IDSC 202,0.26
HIST 298,ECON 330,0.23
HIST 298,RUSS 307,0.20
HIST 308,PSYC 216,0.14
HIST 308,DANC 350,0.13
HIST 308,PE 138,0.13
HIST 347,ARTS 400,0.20
HIST 347,POSC 232.01,0.17
HIST 347,FREN 210,0.16
IDSC 198,MATH 341,0.23
IDSC 198,PHIL 210,0.18
IDSC 198,EDUC 110,0.17
IDSC 202,BIOC 311,0.36
IDSC 202,POSC 120,0.33
IDSC 202,ECON 330,0.32
IDSC 238,HIST 287,0.58
IDSC 238,STAT 250,0.28
IDSC 238,IDSC 202,0.23
IDSC 251,CHEM 362,0.50
IDSC 251,IDSC 280,0.35
IDSC 251,DANC 148,0.27
IDSC 280,CHEM 400,0.47
IDSC 280,IDSC 251,0.35
IDSC 280,ENGL 395.00,0.34
IDSC 289,GWSS 400,0.23
IDSC 289,IDSC 280,0.21
IDSC 289,PE 316,0.21
IDSC 298,LING 115,0.17
IDSC 298,ENGL 395.00,0.17
IDSC 298,POSC 252,0.14
JAPN 103,ENGL 209,0.22
JAPN 103,PE 284,0.14
