Course_1,Course_2,Similarity
AFST 289,CS 251,-0.17336951
AFST 289,IDSC 289,-0.23159954
AFST 300,AFST 300,1.0
AFST 300,HIST 206,0.8344486
AFST 300,HIST 209,0.83090645
AFST 300,GERM 221,0.78770924
AFST 300,RELG 221,0.78770804
AFST 300,CLAS 240,0.7863337
AFST 300,RELG 265,0.7830719
AFST 300,SPAN 369,0.7753809
AFST 300,LTAM 220,0.74857575
AFST 300,POSC 302,0.73641926
AFST 300,RELG 213,0.7288947
AFST 300,MELA 230,0.69055116
AFST 300,ECON 274,0.68554807
AFST 300,HIST 308,0.67390513
AFST 300,AMST 396.00,0.66458285
AFST 300,GWSS 200,0.6630882
AFST 300,ENGL 202,0.6479032
AFST 300,HIST 276,0.6448848
AFST 300,POSC 266,0.6444093
AFST 300,RELG 261,0.644182
AFST 300,CLAS 142,0.6413952
AFST 300,RELG 110,0.637416
AFST 300,HIST 229,0.63011026
AFST 300,CLAS 214,0.6257625
AFST 300,BIOL 378,0.61878675
AFST 300,GRK 226,0.6103648
AFST 300,POSC 348,0.60860354
AFST 300,GWSS 398.00,0.60018975
AFST 300,PHIL 209,0.59948623
AFST 300,EDUC 338,0.59282774
AFST 300,HIST 251,0.59160376
AFST 300,HIST 347,0.5882953
AFST 300,HIST 270,0.5860654
AFST 300,AMST 115,0.58604336
AFST 300,ARCN 112,0.5859138
AFST 300,RUSS 266,0.58507216
AFST 300,ASST 285,0.5845658
AFST 300,GWSS 110,0.5770235
AFST 300,PHIL 270,0.5674693
AFST 300,POSC 242,0.56119055
AFST 300,LATN 240,0.55554783
AFST 300,POSC 120,0.55405587
AFST 300,POSC 315,0.5536666
AFST 300,RELG 155,0.5516856
AFST 300,EDUC 242,0.5442544
AFST 300,GERM 217,0.54281855
AFST 300,AMST 321,0.5396381
AFST 300,HIST 116,0.538799
AFST 300,PSYC 382,0.53578955
AFST 300,PHIL 124,0.53061944
AFST 300,SPAN 220,0.5297889
AFST 300,ARCN 222,0.52732205
AFST 300,RUSS 267,0.5231526
AFST 300,SOAN 323,0.52303094
AFST 300,CAMS 186,0.51959896
AFST 300,PHIL 289,0.51953185
AFST 300,HIST 201,0.5103312
AFST 300,ENGL 395.00,0.5035463
AFST 300,POSC 170,0.5028169
AFST 300,EUST 207,0.49342456
AFST 300,AFST 289,0.49292746
AFST 300,EDUC 110,0.4920888
AFST 300,POSC 333,0.48590922
AFST 300,THEA 226,0.48526376
AFST 300,POSC 160,0.48074067
AFST 300,ARTH 214,0.47524664
AFST 300,CS 201,0.47404352
AFST 300,CS 311,0.47326118
AFST 300,CHIN 358,0.4714673
AFST 300,POSC 322,0.46846652
AFST 300,AMST 269,0.46697748
AFST 300,FREN 310,0.46017072
AFST 300,ASST 110,0.45489296
AFST 300,ENGL 338,0.45207024
AFST 300,MUSC 217,0.43977115
AFST 300,RELG 121,0.4367422
AFST 300,PHIL 219,0.436661
AFST 300,IDSC 251,0.42533892
AFST 300,HIST 287,0.41319224
AFST 300,SOAN 214,0.41258973
AFST 300,RELG 344,0.4091305
AFST 300,HIST 153,0.40518928
AFST 300,FREN 259,0.40412682
AFST 300,CLAS 123,0.40289825
AFST 300,FREN 255,0.40251073
AFST 300,SOAN 110,0.400347
AFST 300,SOAN 313,0.39974946
AFST 300,ENGL 209,0.3966783
AFST 300,PHIL 119,0.3953715
AFST 300,IDSC 238,0.39501807
AFST 300,HIST 265,0.3905045
AFST 300,RUSS 228,0.39003512
AFST 300,LING 135,0.37457272
AFST 300,HIST 205,0.37170613
AFST 300,POSC 252,0.36788294
AFST 300,ENGL 255,0.3644035
AFST 300,SOAN 228,0.3617447
AFST 300,ECON 277,0.35639802
AFST 300,PHYS 123,0.34995893
AFST 300,CCST 208,0.34459957
AFST 300,ENGL 253,0.3426614
AFST 300,JAPN 343,0.34195182
AFST 300,CAMS 214,0.33775735
AFST 300,MATH 342,0.33546877
AFST 300,ENGL 370,0.3325849
AFST 300,PSYC 110,0.3263221
AFST 300,SPAN 263,0.3213188
AFST 300,BIOL 353,0.31498733
AFST 300,SOAN 240,0.31380716
AFST 300,EDUC 395,0.31132883
AFST 300,IDSC 202,0.3072756
AFST 300,RUSS 228F,0.3059736
AFST 300,EUST 101.07,0.29756328
AFST 300,CS 251,0.2947197
AFST 300,FREN 245,0.29314265
AFST 300,HIST 111,0.29251143
AFST 300,CS 304,0.29201528
AFST 300,CS 208,0.28821567
AFST 300,MEST 395,0.26973945
AFST 300,CHIN 206,0.26657954
AFST 300,SOAN 312,0.26573214
AFST 300,LING 110,0.2645274
AFST 300,CS 257,0.2641328
AFST 300,POSC 201,0.2630363
AFST 300,CAMS 230,0.26173148
AFST 300,SPAN 208,0.26110524
AFST 300,CHIN 251,0.26057822
AFST 300,PHIL 210,0.25614965
AFST 300,PSYC 389,0.25469092
AFST 300,JAPN 206,0.25362453
AFST 300,ARBC 222,0.25056288
AFST 300,PSYC 220,0.24805169
AFST 300,MATH 210,0.23942769
AFST 300,POSC 206.00,0.23721357
AFST 300,ENGL 371,0.23359267
AFST 300,THEA 245,0.23287632
AFST 300,CAMS 187,0.22644281
AFST 300,MATH 111,0.21653128
AFST 300,MATH 120,0.20381865
AFST 300,FREN 254,0.2033905
AFST 300,ARBC 206,0.20235065
AFST 300,ENGL 115,0.20031421
AFST 300,SOAN 262,0.19818443
AFST 300,MATH 241,0.19793499
AFST 300,RUSS 207,0.19684125
AFST 300,ENGL 160,0.1956413
AFST 300,ENGL 268,0.19452456
AFST 300,MUSC 299,0.19373292
AFST 300,FREN 208,0.18872026
AFST 300,EDUC 385,0.18185712
AFST 300,GERM 103,0.17979826
AFST 300,STAT 220,0.17839772
AFST 300,RUSS 309,0.17789307
AFST 300,ASTR 233,0.17731495
AFST 300,MUSC 127,0.17372961
AFST 300,POSC 272,0.17025244
AFST 300,PHIL 202,0.16404067
AFST 300,RUSS 209,0.16138801
AFST 300,CS 320,0.15802135
AFST 300,CHEM 123,0.1530613
AFST 300,PSYC 216,0.15231186
AFST 300,MATH 236,0.1499147
AFST 300,FREN 210,0.14863114
AFST 300,ECON 265,0.14596044
AFST 300,PHYS 341,0.14543073
AFST 300,DANC 309,0.14431912
AFST 300,CHIN 103,0.14299746
AFST 300,ARBC 371,0.14109182
AFST 300,RUSS 307,0.1384057
AFST 300,ARTS 122,0.13810909
AFST 300,CHEM 300.00,0.13412228
AFST 300,ENGL 230,0.1306754
AFST 300,ARTS 139,0.13032407
AFST 300,ECON 331,0.13021742
AFST 300,PSYC 256,0.1274479
AFST 300,CS 348,0.12558748
AFST 300,SOAN 111,0.12320253
AFST 300,RUSS 110,0.11973706
AFST 300,CS 254,0.11944119
AFST 300,GEOL 110,0.11499552
AFST 300,IDSC 298,0.113271475
AFST 300,ECON 280,0.112338156
AFST 300,CS 347,0.11145185
AFST 300,CAMS 277,0.11130342
AFST 300,ARBC 103,0.11083533
AFST 300,ECON 269,0.11064474
AFST 300,LING 115,0.108703814
AFST 300,ARTS 113,0.108138785
AFST 300,DANC 148,0.10738272
AFST 300,MATH 134,0.1063631
AFST 300,MATH 232,0.10524507
AFST 300,ECON 330,0.10473058
AFST 300,ARBC 223,0.10364111
AFST 300,CHEM 352,0.10328121
AFST 300,STAT 320,0.10087637
AFST 300,DANC 206,0.10001437
AFST 300,MUSC 313,0.09731086
AFST 300,THEA 199,0.09714654
AFST 300,CAMS 229,0.09643647
AFST 300,POSC 231,0.09533375
AFST 300,MATH 297,0.09314793
AFST 300,JAPN 103,0.092253804
AFST 300,HEBR 102,0.090301014
AFST 300,ASLN 111,0.08844984
AFST 300,CS 202,0.08475209
AFST 300,ARTS 262,0.08219623
AFST 300,MATH 341,0.08129258
AFST 300,STAT 297,0.07857837
AFST 300,LING 319,0.07687037
AFST 300,POSC 232.02,0.07530083
AFST 300,NEUR 239,0.07178529
AFST 300,ARTS 339,0.064764924
AFST 300,CGSC 330,0.06365955
AFST 300,PHYS 235,0.06324661
AFST 300,STAT 285,0.061084956
AFST 300,CS 361,0.05787415
AFST 300,SPAN 103,0.055893894
AFST 300,CAMS 265,0.05508804
AFST 300,PSYC 200,0.05025345
AFST 300,THEA 190,0.04809156
AFST 300,FREN 103,0.04798622
AFST 300,IDSC 280,0.04769405
AFST 300,CS 252,0.044588447
AFST 300,IDSC 289,0.043323684
AFST 300,CAMS 272,0.04221401
AFST 300,DANC 200,0.04218134
AFST 300,DANC 310,0.040759645
AFST 300,POSC 232.01,0.036763664
AFST 300,ENGL 109,0.03360117
AFST 300,NEUR 395,0.032116137
AFST 300,THEA 110,0.030198783
AFST 300,GEOL 230,0.028163245
AFST 300,PHYS 234,0.025905766
AFST 300,MUSC 221,0.025879167
AFST 300,LTAM 398,0.025292316
AFST 300,MUSC 227,0.024068456
AFST 300,DANC 208,0.023827005
AFST 300,BIOL 370,0.0200312
AFST 300,STAT 250,0.019969659
AFST 300,PHYS 142,0.017978907
AFST 300,PSYC 257,0.015146268
AFST 300,DANC 107,0.01460015
AFST 300,POSC 230,0.0031055608
AFST 300,THEA 185,0.00095663965
AFST 300,ARTS 230,-0.00033027676
AFST 300,ARTS 298,-0.00049761456
AFST 300,CHEM 349,-0.0022257112
AFST 300,MATH 271,-0.0033555112
AFST 300,GEOL 240,-0.004518762
AFST 300,DANC 190,-0.0054377136
AFST 300,RUSS 103,-0.0057643424
AFST 300,BIOC 311,-0.009288086
AFST 300,ECON 270,-0.010169675
AFST 300,CS 111,-0.013268857
AFST 300,GRK 102,-0.014055796
AFST 300,ASTR 113,-0.016671052
AFST 300,PSYC 354,-0.019471386
AFST 300,PHYS 145,-0.019555233
AFST 300,ECON 111,-0.02482447
AFST 300,HIST 298,-0.02558663
AFST 300,BIOL 241,-0.031592235
AFST 300,ECON 398,-0.033148807
AFST 300,BIOC 331,-0.037204172
AFST 300,PHYS 342,-0.0420011
AFST 300,STAT 230,-0.042432476
AFST 300,IDSC 198,-0.046679173
AFST 300,CAMS 110,-0.054133132
AFST 300,SPAN 205,-0.05604493
AFST 300,BIOL 240,-0.058211833
AFST 300,ECON 110,-0.058422558
AFST 300,BIOL 125,-0.060584635
AFST 300,CHEM 362,-0.064617865
AFST 300,BIOL 126,-0.06515464
AFST 300,PSYC 217,-0.07362023
AFST 300,GEOL 255,-0.07525414
AFST 300,MATH 331,-0.07591773
AFST 300,MUSC 204,-0.07784209
AFST 300,STAT 120,-0.08221567
AFST 300,LATN 103,-0.0871889
AFST 300,CGSC 130.00,-0.098283105
AFST 300,DGAH 398,-0.099812
AFST 300,BIOL 352,-0.1034692
AFST 300,ARTH 298,-0.11436975
AFST 300,ENGL 295,-0.12272917
AFST 300,CHEM 224,-0.12522705
AFST 300,CAMS 111,-0.1308527
AFST 300,ARTS 322,-0.13133363
AFST 300,ARTS 374,-0.13750406
AFST 300,ARTS 252,-0.16574834
AFST 300,NEUR 238,-0.16964284
AFST 300,CHEM 351,-0.17925307
AFST 300,PHYS 352,-0.17975496
AFST 300,DANC 279,-0.210903
AFST 300,DANC 350,-0.21687698
AFST 300,CHEM 348,-0.2378292
AFST 300,PSYC 201,-0.27496085
AFST 300,CHEM 234,-0.3463927
AMST 115,AMST 115,1.0
AMST 115,GWSS 398.00,0.8014272
AMST 115,RELG 221,0.78189033
AMST 115,HIST 229,0.7467542
AMST 115,POSC 322,0.7346884
AMST 115,GWSS 110,0.710868
AMST 115,RELG 344,0.70466834
AMST 115,CAMS 214,0.6972265
AMST 115,AMST 269,0.6876008
AMST 115,POSC 242,0.68327725
AMST 115,HIST 308,0.66896987
AMST 115,HIST 206,0.66303605
AMST 115,RELG 110,0.66087395
AMST 115,CLAS 123,0.65778255
AMST 115,HIST 251,0.65277755
AMST 115,RUSS 228,0.640283
AMST 115,ARCN 112,0.6375265
AMST 115,SPAN 369,0.6366224
AMST 115,SOAN 228,0.63338363
AMST 115,POSC 120,0.62750834
AMST 115,CAMS 187,0.6257636
AMST 115,HIST 209,0.6252205
AMST 115,MELA 230,0.6243276
AMST 115,HIST 201,0.6190746
AMST 115,HIST 265,0.6031251
AMST 115,ASST 285,0.6016975
