Course_1,Course_2,Similarity
AFST 300,MATH 134,0.13070717
AFST 300,MATH 210,0.2431215
AFST 300,MATH 232,0.09371219
AFST 300,MATH 236,0.12274922
AFST 300,MATH 241,0.2832053
AFST 300,MATH 271,0.026297847
AFST 300,MATH 297,0.13018245
AFST 300,MATH 331,-0.022781141
AFST 300,MATH 341,0.078179374
AFST 300,MATH 342,0.30836624
AFST 300,MELA 230,0.6235446
AFST 300,MEST 395,0.22444761
AFST 300,MUSC 127,0.05538325
AFST 300,MUSC 204,-0.060267217
AFST 300,MUSC 217,0.4064989
AFST 300,MUSC 221,0.04333416
AFST 300,MUSC 227,-0.020983819
AFST 300,MUSC 299,0.11008343
AFST 300,MUSC 313,0.103268825
AFST 300,NEUR 238,-0.16299826
AFST 300,NEUR 239,0.106471114
AFST 300,NEUR 395,-0.0256449
AFST 300,PHIL 119,0.3702576
AFST 300,PHIL 124,0.50854665
AFST 300,PHIL 202,0.18186317
AFST 300,PHIL 209,0.51779705
AFST 300,PHIL 210,0.33107737
AFST 300,PHIL 219,0.36712897
AFST 300,PHIL 270,0.587415
AFST 300,PHIL 289,0.5380987
AFST 300,PHYS 123,0.33051422
AFST 300,PHYS 142,0.11214657
AFST 300,PHYS 145,-0.022403471
AFST 300,PHYS 234,0.018539466
AFST 300,PHYS 235,0.124938786
AFST 300,PHYS 341,0.16332994
AFST 300,PHYS 342,-0.011445507
AFST 300,PHYS 352,-0.12548146
AFST 300,POSC 120,0.5170006
AFST 300,POSC 160,0.57118535
AFST 300,POSC 170,0.55455863
AFST 300,POSC 201,0.32968804
AFST 300,POSC 206.00,0.22577229
AFST 300,POSC 230,0.085114054
AFST 300,POSC 231,0.1279069
AFST 300,POSC 232.01,0.05750441
AFST 300,POSC 232.02,0.09488705
AFST 300,POSC 242,0.6429653
AFST 300,POSC 252,0.30656868
AFST 300,POSC 266,0.5055371
AFST 300,POSC 272,0.17265384
AFST 300,POSC 302,0.7727147
AFST 300,POSC 315,0.5882578
AFST 300,POSC 322,0.51888204
AFST 300,POSC 333,0.54952073
AFST 300,POSC 348,0.54115814
AFST 300,PSYC 110,0.30808136
AFST 300,PSYC 200,0.08971733
AFST 300,PSYC 201,-0.2645374
AFST 300,PSYC 216,0.08430849
AFST 300,PSYC 217,-0.08561435
AFST 300,PSYC 220,0.1642496
AFST 300,PSYC 256,0.13833334
AFST 300,PSYC 257,0.014313137
AFST 300,PSYC 354,0.046020642
AFST 300,PSYC 382,0.5809116
AFST 300,PSYC 389,0.21892673
AFST 300,RELG 110,0.64327514
AFST 300,RELG 121,0.43782383
AFST 300,RELG 155,0.5256283
AFST 300,RELG 213,0.7540189
AFST 300,RELG 221,0.7547438
AFST 300,RELG 261,0.57797575
AFST 300,RELG 265,0.7074305
AFST 300,RELG 344,0.2674154
AFST 300,RUSS 103,-0.08728407
AFST 300,RUSS 110,0.13754337
AFST 300,RUSS 207,0.2726701
AFST 300,RUSS 209,0.15718141
AFST 300,RUSS 228,0.38160992
AFST 300,RUSS 228F,0.24147211
AFST 300,RUSS 266,0.572175
AFST 300,RUSS 267,0.5452388
AFST 300,RUSS 307,0.1154533
AFST 300,RUSS 309,0.19251592
AFST 300,SOAN 110,0.47584403
AFST 300,SOAN 111,0.2796193
AFST 300,SOAN 214,0.3513031
AFST 300,SOAN 228,0.26483253
AFST 300,SOAN 240,0.33321965
AFST 300,SOAN 262,0.18708098
AFST 300,SOAN 312,0.22031373
AFST 300,SOAN 313,0.39126205
AFST 300,SOAN 323,0.48658866
AFST 300,SPAN 103,0.1357011
AFST 300,SPAN 205,0.06962091
AFST 300,SPAN 208,0.34488997
AFST 300,SPAN 220,0.45836115
AFST 300,SPAN 263,0.36164346
AFST 300,SPAN 369,0.69100374
AFST 300,STAT 120,-0.133069
AFST 300,STAT 220,0.1772409
AFST 300,STAT 230,-0.05814157
AFST 300,STAT 250,0.0026274468
AFST 300,STAT 285,0.049871057
AFST 300,STAT 297,0.093436785
AFST 300,STAT 320,0.14615205
AFST 300,THEA 110,0.012753278
AFST 300,THEA 185,0.062352717
AFST 300,THEA 190,-0.07326463
AFST 300,THEA 199,0.074324094
AFST 300,THEA 226,0.43349755
AFST 300,THEA 245,0.2005214
AMST 115,AFST 289,0.5269424
AMST 115,AFST 300,0.46334472
AMST 115,AMST 115,1.0000001
AMST 115,AMST 269,0.62636805
AMST 115,AMST 321,0.41884866
AMST 115,AMST 396.00,0.3720261
AMST 115,ARBC 103,0.32232776
AMST 115,ARBC 206,0.2167508
AMST 115,ARBC 222,0.14472514
AMST 115,ARBC 223,-0.1820375
AMST 115,ARBC 371,0.22138333
AMST 115,ARCN 112,0.60790724
AMST 115,ARCN 222,0.4554036
AMST 115,ARTH 214,0.55477756
AMST 115,ARTH 298,-0.0022169685
AMST 115,ARTS 113,0.22110268
AMST 115,ARTS 122,0.28232974
AMST 115,ARTS 139,0.20786607
AMST 115,ARTS 230,0.09791562
AMST 115,ARTS 252,0.278714
AMST 115,ARTS 262,0.31171766
AMST 115,ARTS 298,-0.21055132
AMST 115,ARTS 322,0.050157614
